SKU,MARKETPLACE_ID,MIN_PRICE,MAX_PRICE,CURRENT_PRICE,CURRENT_SHIPPING,CREATED_DATE
92-3A5P-M0LT","4037","0.00","0.00","43.98","3.99","7/26/2015 9:31:00 AM
belkin ipad leather RED","4037","0.00","0.00","25.00","0.00","12/28/2015 12:26:12 PM
H1-H34J-QO57","4037","0.00","0.00","35.98","3.99","7/26/2015 9:31:00 AM
K3-Y4WN-MMVY","4037","0.00","0.00","29.99","0.00","7/26/2015 9:31:00 AM
LA-L122-5Y4K","4037","0.00","0.00","35.41","0.00","7/26/2015 9:31:00 AM
M6-PSTB-2LCY","4037","0.00","0.00","18.55","0.00","12/28/2015 12:26:12 PM
N5-R3D6-IG7N","4037","0.00","0.00","31.97","3.99","7/26/2015 9:31:00 AM
NX-I9RK-VEEX","4037","0.00","0.00","29.99","0.00","7/26/2015 9:31:00 AM
P7-VN8Q-XQIN","4037","0.00","0.00","55.00","0.00","7/26/2015 9:31:00 AM
quilted ipad mini black","4037","0.00","0.00","35.00","0.00","12/28/2015 12:26:12 PM
quilted ipad mini white","4037","0.00","0.00","35.00","0.00","12/28/2015 12:26:12 PM
quilted ipad red","4037","0.00","0.00","45.00","0.00","12/28/2015 12:26:12 PM
SD-JN3V-DQUN","4037","0.00","0.00","19.61","3.99","7/26/2015 9:31:00 AM
SK-0SU7-GO1R","4037","0.00","0.00","203.99","3.99","7/26/2015 9:31:00 AM
TU-HOG7-JL82","4037","0.00","0.00","33.95","3.99","7/26/2015 9:31:00 AM
U5-6VZU-6GID","4037","0.00","0.00","27.57","0.00","7/26/2015 9:31:00 AM
U8-PGNT-Q0YX","4037","0.00","0.00","42.98","3.99","7/26/2015 9:31:00 AM
